crc,take_type,allo_block,feav,from_month,to_month,use_type,from_date,max_rate_crc,to_date,in_gw_allo,daily_vol,crc_status
CRC001087.2,Take Groundwater,A,487656.0,7,6,irrigation,2009-11-04,45.519999999999996,2035-03-27,True,3932.93,Issued - Active
CRC001382,Take Groundwater,A,687419.0,7,6,irrigation,2000-03-28,61.0,2035-03-27,True,5051.0,Issued - Active
CRC001609,Take Groundwater,A,16971.0,7,6,irrigation,2000-04-17,4.4,2035-04-13,True,131.5,Issued - Active
CRC001953.1,Take Surface Water,A,882694.1000000001,7,6,industrial,2002-06-24,27.990000000000002,2036-01-19,False,2418.34,Issued - Active
CRC001999,Take Groundwater,A,48239.0,7,6,irrigation,2000-07-21,5.0,2035-07-18,True,432.0,Issued - Active
CRC002108,Take Groundwater,A,484720.0,7,6,stockwater,2006-02-09,20.0,2041-01-30,True,1328.0,Issued - Active
CRC010181,Take Surface Water,A,5850000.0,7,6,irrigation,2005-10-27,453.0,2028-06-30,False,39140.0,Issued - Active
CRC010365,Take Groundwater,A,254026.0,7,6,irrigation,2002-06-14,38.0,2037-06-12,True,2052.0,Issued - Active
CRC011065.1,Take Groundwater,A,1255352.0,7,6,irrigation,2008-07-25,106.0,2035-01-31,True,9158.4,Issued - Active
CRC011072,Take Groundwater,A,564033.0,7,6,irrigation,2001-02-09,50.0,2036-02-09,True,4320.0,Issued - Active
CRC011116,Take Groundwater,A,11314.0,7,6,irrigation,2001-01-29,1.3,2036-01-26,True,79.56,Issued - Active
CRC011245,Take Surface Water,A,223292160.0,7,6,irrigation,2008-04-16,7100.0,2043-04-16,False,613440.0,Issued - Active
CRC011331.1,Take Groundwater,A,5657.0,7,6,irrigation,2011-12-23,2.0,2036-02-13,True,57.57,Issued - Active
CRC011820.3,Take Groundwater,A,24076.0,7,6,industrial,2008-04-30,4.0,2036-12-20,True,345.6,Issued - Active
CRC011923,Take Groundwater,A,470000.0,7,6,water_supply,2002-08-08,36.0,2037-08-08,True,3110.4,Issued - Active
CRC012482.1,Take Groundwater,A,820028.0,7,6,irrigation,2010-04-26,79.0,2036-09-07,True,2430.0,Issued - Active
CRC012671,Take Groundwater,A,72774.0,7,6,irrigation,2001-08-09,13.0,2036-08-07,True,527.14,Issued - Active
CRC020211,Take Groundwater,A,500590.0,7,6,irrigation,2001-11-05,45.0,2036-11-01,True,3888.0,Issued - Active
CRC020484.1,Take Groundwater,A,869578.0,7,6,irrigation,2004-04-14,100.0,2036-10-18,True,8640.0,Issued - Active
CRC020951.2,Take Groundwater,A,668958.0,7,6,irrigation,2010-01-28,70.0,2037-03-04,True,7128.0,Issued - Active
CRC021057.1,Take Groundwater,A,424515.0,7,6,irrigation,2002-08-16,40.0,2037-01-24,True,3456.0,Issued - Active
CRC021199,Take Groundwater,A,275940.0,7,6,irrigation,2002-04-22,52.0,2037-04-19,True,4492.8,Issued - Active
CRC021736.5,Take Groundwater,A,350550.0,7,6,irrigation,2010-05-11,38.0,2038-09-23,True,3283.2,Issued - Active
CRC021968.2,Take Groundwater,A,334665.0,7,6,irrigation,2011-04-15,36.0,2038-01-28,True,2722.0,Issued - Active
CRC022026,Take Groundwater,A,65000.0,7,6,water_supply,2002-07-16,4.9,2037-07-15,True,423.36,Issued - Active
CRC022038,Take Groundwater,A,29977.0,7,6,irrigation,2002-08-05,4.9,2037-08-01,True,211.64,Issued - Active
CRC022082,Take Groundwater,A,201104.0,7,6,irrigation,2002-07-18,19.0,2037-07-17,True,1641.6,Issued - Active
CRC030152.2,Take Groundwater,A,977840.0,7,6,irrigation,2011-12-20,85.0,2037-09-24,True,7344.0,Issued - Active
CRC030337,Take Groundwater,A,544217.0,7,6,irrigation,2005-09-06,72.0,2040-09-01,True,6221.0,Issued - Active
CRC030376.1,Take Groundwater,A,292862.0,7,6,irrigation,2006-03-15,24.0,2038-01-20,True,2073.6,Issued - Active
CRC030557,Take Groundwater,A,339612.0,7,6,irrigation,2002-10-30,39.0,2037-10-30,True,2808.0,Issued - Active
CRC030598.2,Take Groundwater,A,394901.0,7,6,irrigation,2010-06-03,53.0,2037-12-09,True,4388.43,Issued - Active
CRC030721,Take Groundwater,A,175871.0,7,6,irrigation,2002-12-05,18.0,2037-12-05,True,1425.57,Issued - Active
CRC030836,Take Groundwater,A,184406.0,7,6,irrigation,2003-02-21,15.0,2038-02-21,True,1296.0,Issued - Active
CRC031720,Take Surface Water,A,16127.0,7,6,irrigation,2004-01-08,6.1,2039-01-05,False,110.0,Issued - Active
CRC032255,Take Groundwater,A,1280000.0,7,6,irrigation,2005-11-07,104.0,2040-11-02,True,8985.6,Issued - Active
CRC040121.2,Take Groundwater,A,319636.0,7,6,irrigation,2011-05-03,34.0,2038-10-29,True,2937.6,Issued - Active
CRC040799,Take Groundwater,A,70504.0,7,6,irrigation,2004-01-21,7.25,2039-01-16,True,600.28,Issued - Active
CRC041831.1,Take Groundwater,A,544320.0,7,6,irrigation,2006-12-15,130.32,2039-11-11,True,11259.65,Issued - Active
CRC042190.2,Take Groundwater,A,5501256.4,7,6,irrigation,2007-08-31,73.4,2039-12-24,True,2314.0,Issued - Active
CRC042230.1,Take Groundwater,A,634018.0,7,6,irrigation,2008-06-24,97.0,2040-12-09,True,8031.6,Issued - Active
CRC042462,Take Groundwater,A,45257.0,7,6,irrigation,2004-10-22,10.0,2039-10-22,True,342.86,Issued - Active
CRC050332.2,Take Groundwater,A,172112.0,7,6,irrigation,2011-06-23,18.0,2039-11-03,True,1490.0,Issued - Active
CRC050404.2,Take Groundwater,A,152759.0,7,6,irrigation,2008-11-13,16.0,2039-11-11,True,1325.0,Issued - Active
CRC050465.1,Take Groundwater,A,372600.0,7,6,irrigation,2009-02-25,80.0,2040-03-04,True,6624.0,Issued - Active
CRC050834.2,Take Groundwater,A,466560.0,7,6,irrigation,2010-04-26,60.0,2039-12-20,True,5184.0,Issued - Active
CRC050908.5,Take Groundwater,A,514720.0,7,6,irrigation,2009-11-19,92.0,2039-11-03,True,7948.8,Issued - Active
CRC050912.2,Take Groundwater,A,64800.0,7,6,irrigation,2005-12-09,13.0,2039-12-03,True,432.0,Issued - Active
CRC050942.2,Take Groundwater,A,427680.0,7,6,irrigation,2008-06-13,55.0,2039-12-06,True,4752.0,Issued - Active
CRC051182,Take Groundwater,A,81972.0,7,6,irrigation,2005-02-03,11.0,2040-02-02,True,910.82,Issued - Active
CRC051278,Take Groundwater,A,547500.0,7,6,irrigation,2005-10-28,87.0,2040-10-26,True,7516.8,Issued - Active
CRC052582.2,Take Groundwater,A,657000.0,7,6,irrigation,2010-04-26,62.0,2038-12-22,True,5363.0,Issued - Active
