DatasetTypeID,FeatureID,MtypeID,CTypeID,DataCodeID,DataProviderID
1,1,1,1,2,1
2,1,2,1,2,1
3,1,3,1,2,1
4,1,1,1,1,1
5,1,2,1,1,1
6,1,3,1,1,1
7,1,1,2,1,1
8,1,2,2,1,1
9,1,9,1,2,1
10,2,1,1,2,1
11,2,1,1,1,1
12,2,9,1,2,1
13,2,1,2,1,1
14,3,8,1,2,1
15,3,8,1,1,1
16,5,1,1,1,1
17,1,3,2,1,1
18,3,4,1,1,2
19,3,4,1,4,3
20,3,5,1,1,2
21,3,5,1,4,3
22,3,21,1,1,2
23,3,21,1,4,3
24,3,22,1,1,2
25,3,22,1,4,3
26,3,8,1,4,3
27,3,11,1,4,3
28,3,23,1,1,2
29,3,23,1,4,3
30,3,24,1,1,2
31,3,24,1,4,3
32,3,25,1,1,2
33,3,25,1,4,3
34,3,11,1,1,2
35,1,9,1,1,1
36,2,9,1,1,1
38,3,8,1,1,2
